Code,Year,Sales,Bills
22238,1999,323524.0,1
22238,2020,0.0,2
22238,2021,7755.58,1
22238,2022,221090.66,9
22239,1999,87986.0,4
22239,2001,298960.0,1
22239,2002,201.84,3
22239,2003,5129.4,4
22239,2004,116.0,1
22239,2006,0.0,4
22239,2007,443.12,5
22239,2008,518.52,4
22239,2009,134.91,4
22239,2010,533.15,5
22239,2012,61.95,1
22240,1999,8352.0,1
22241,1999,3712.0,1
22243,1999,438480.0,1
22243,2000,1790005.0,11
22243,2001,5241279.0,8
22243,2002,31322.83,16
22243,2003,6962.32,8
22243,2004,11772.36,14
22243,2005,4234.9897,7
22243,2006,1335.0701,5
22243,2007,11191.88,12
22243,2008,689.04,2
22243,2009,556.8,2
22243,2010,446.6,1
22243,2011,0.0,2
22244,1999,89320.0,2
